127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/js/calendar.js, HTTP/1.1, 200, 0.065435
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.011194
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/js/jquery.js, HTTP/1.1, 200, 0.101029
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.014592
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.016305
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.012687
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.014130
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.022997
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.038162
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/js/web2py.js, HTTP/1.1, 200, 0.061677
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/images/questions.png, HTTP/1.1, 200, 0.010994
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.028355
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.051952
127.0.0.1, 2024-04-02 02:39:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001183
127.0.0.1, 2024-04-02 02:39:10, POST, /admin/default/index, HTTP/1.1, 303, 0.031921
127.0.0.1, 2024-04-02 02:39:10, GET, /admin/default/ticket/welcome/127.0.0.1.2024-04-02.02-39-00.d33676b8-1439-494b-9736-8f02fe8daa92, HTTP/1.1, 200, 0.146158
127.0.0.1, 2024-04-02 02:39:10, GET, /admin/static/_2.24.1/images/help.png, HTTP/1.1, 200, 0.009991
127.0.0.1, 2024-04-02 02:39:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2024-04-02 02:39:31, GET, /welcome/courses/get_courses, HTTP/1.1, 500, 4.098238
127.0.0.1, 2024-04-02 02:39:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001006
127.0.0.1, 2024-04-02 02:41:05, GET, /welcome/courses/get_courses, HTTP/1.1, 500, 4.110611
127.0.0.1, 2024-04-02 02:41:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-02 02:41:06, GET, /admin/default/ticket/welcome/127.0.0.1.2024-04-02.02-41-01.342b63f6-da6e-41a8-8a47-0a014ec8d032, HTTP/1.1, 200, 0.146903
127.0.0.1, 2024-04-02 02:41:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-02 02:42:05, GET, /welcome/courses/get_courses, HTTP/1.1, 500, 4.108981
